0.800740,	-0.001501,	-2.101064,	-8.270649,	2.404900,	-9.942290,	
-0.248473,	-0.004791,	-2.999495,	-8.203170,	4.688385,	-12.753042,	
-3.067003,	-0.003005,	0.344435,	-2.778497,	-2.411212,	-5.182453,	
-2.855001,	-0.000676,	4.991677,	-3.612303,	1.413896,	-2.256347,	
2.615203,	-0.001814,	-4.881248,	0.066231,	-3.856526,	-3.271732,	
-2.237188,	-0.004780,	-3.648465,	-3.029745,	-3.395884,	-5.116141,	
2.465948,	-0.003607,	-0.982490,	-3.543214,	-2.706277,	-5.661024,	
-2.929212,	-0.001902,	-2.532140,	-1.170633,	-3.516969,	-4.607167,	
-0.878828,	-0.002978,	1.566550,	-7.321327,	3.933881,	-9.840363,	
0.562780,	-0.009034,	2.472004,	-6.193371,	5.940462,	-11.188829,	
-0.125017,	-0.003373,	0.835869,	-6.343436,	7.028933,	-13.320429,	
-0.215352,	-0.006508,	1.885044,	-5.836581,	7.281795,	-12.960152,	
0.512997,	-0.003829,	1.131522,	-6.681951,	5.578681,	-11.532012,	
-1.556042,	-0.006191,	3.862931,	-6.561022,	2.000610,	-6.602922,	
1.064066,	-0.000003,	-11.667295,	-3.891378,	-5.542038,	-1.201725,	
-1.217023,	-0.003285,	-9.080452,	-6.220483,	-3.677782,	-4.935027,	
-0.559889,	-0.002935,	6.063879,	-3.911042,	7.334443,	-10.137025,	
-0.539917,	-0.000575,	-11.741545,	-8.078288,	-3.806112,	-4.812467,	
1.024418,	-0.000893,	6.331242,	-4.887517,	5.123056,	-7.545529,	
1.193447,	-0.003497,	-6.809872,	-7.399524,	-2.200514,	-6.595888,	
-0.605211,	-0.008730,	-0.517171,	-7.629106,	4.404651,	-11.273150,	
-0.728883,	-0.004759,	3.883450,	-5.789110,	5.712748,	-10.068414,	
1.411551,	-0.002054,	-0.735091,	-7.444020,	0.217784,	-7.478113,	
2.872270,	-0.002025,	0.710829,	-3.041855,	-2.078034,	-5.046094,	
0.561396,	-0.001324,	-3.779012,	-8.656380,	2.757734,	-10.988891,	
-0.482708,	-0.005969,	-5.444456,	-9.111355,	2.189825,	-11.057006,	
-1.505708,	-0.003181,	8.354491,	-4.425280,	4.338277,	-4.721221,	
