-1.039930,	-0.000336,	-8.025531,	-7.210748,	-2.508210,	-5.940163,	
-0.909435,	-0.006064,	6.588154,	-4.052670,	5.626030,	-7.534993,	
0.092699,	-0.003786,	-7.210803,	-8.920024,	1.652398,	-10.564736,	
0.444222,	-0.001270,	9.577554,	-0.123609,	8.171790,	-7.497823,	
-0.942085,	-0.000964,	9.321856,	-1.698180,	6.243513,	-5.374875,	
-0.743671,	-0.004534,	-1.682210,	-7.834177,	2.825441,	-9.922319,	
-1.013345,	-0.001638,	4.948744,	-5.407526,	4.548293,	-7.820005,	
0.971091,	-0.000366,	-11.190740,	-4.722830,	-5.069945,	-1.862888,	
-1.077101,	-0.002527,	-9.897039,	-5.789147,	-4.026784,	-3.871969,	
0.022993,	-0.011406,	5.247763,	-3.238466,	8.474290,	-11.707743,	
1.070698,	-0.000608,	-9.724561,	-5.920547,	-3.890673,	-4.057000,	
-0.920377,	-0.000407,	-11.484683,	-4.525949,	-5.353898,	-1.282322,	
1.188416,	-0.000983,	4.573599,	-5.755812,	3.607943,	-7.098754,	
0.303398,	-0.009813,	-0.751544,	-6.972132,	5.371451,	-12.082257,	
-1.092538,	-0.001400,	8.269053,	-3.089297,	5.424998,	-5.592802,	
-0.253697,	-0.001833,	-6.421861,	-8.804225,	1.981525,	-10.723232,	
2.426033,	-0.004266,	-2.242769,	-2.228277,	-2.756149,	-4.316108,	
2.694894,	-0.001466,	-3.937805,	0.701395,	-2.787735,	-1.814566,	
-1.999853,	-0.004038,	-2.766017,	-4.179165,	-2.453170,	-5.190699,	
-0.837901,	-0.002684,	-9.027018,	-7.869255,	-2.417581,	-6.247016,	
-0.965929,	-0.001429,	7.453559,	-3.646586,	5.689430,	-6.888578,	
1.010702,	-0.001421,	7.388905,	-3.680825,	5.433265,	-6.560791,	
0.849215,	-0.002301,	-8.366291,	-7.980296,	-1.985106,	-6.672423,	
2.179185,	-0.000778,	-3.275701,	-2.967233,	-2.973508,	-4.668627,	
-2.533707,	-0.001433,	-4.062652,	-0.249388,	-3.214341,	-2.885269,	
-1.890286,	-0.000818,	-1.638024,	-5.256034,	-1.727153,	-5.797160,	
2.952033,	-0.002370,	0.064774,	-1.976758,	-1.814607,	-3.759665,	
-2.616945,	-0.000581,	3.765361,	-3.427260,	0.639328,	-2.874108,	
-1.984892,	-0.003949,	0.740369,	-5.407285,	-0.769012,	-5.713924,	
-2.252154,	-0.000022,	1.089934,	-4.448475,	-1.067696,	-5.120943,	
-0.009099,	-0.001974,	12.393230,	4.141475,	8.251441,	-4.109756,	
2.398623,	-0.000258,	4.149030,	-4.066273,	0.791607,	-3.483146,	
0.602936,	-0.001046,	-4.257307,	-8.534548,	2.092428,	-10.256785,	
-0.068453,	-0.003871,	-3.034565,	-7.981034,	4.909382,	-12.880182,	
0.063687,	-0.002403,	6.919653,	-2.211151,	9.086346,	-11.277660,	
0.294376,	-0.010290,	-4.199409,	-8.488846,	3.576657,	-11.900788,	
0.199268,	-0.002770,	10.686986,	1.217897,	9.126369,	-7.722837,	
-0.154049,	-0.008176,	-9.773149,	-9.417856,	-0.445896,	-8.976695,	
-0.347720,	-0.004218,	11.299867,	1.655505,	8.748746,	-6.582147,	
2.839612,	-0.000754,	-3.054805,	-0.772314,	-3.485528,	-4.100901,	
2.613990,	-0.000481,	-3.495823,	-1.071794,	-3.529073,	-4.121826,	
-2.873477,	-0.001513,	-3.908936,	0.301205,	-3.378868,	-2.955585,	
2.542786,	-0.003994,	1.869022,	-4.044372,	-1.126901,	-4.977731,	
0.420999,	-0.011852,	-2.472545,	-8.105502,	4.154452,	-11.876804,	
-1.634530,	-0.006519,	0.170107,	-7.035756,	-0.116301,	-7.042406,	
1.470452,	-0.005195,	2.661883,	-7.011047,	1.671532,	-7.169853,	
-0.881928,	-0.004065,	8.518643,	-3.010532,	6.559145,	-7.200491,	
-0.860148,	-0.000840,	-9.456559,	-8.198230,	-2.607603,	-6.495567,	
-2.015074,	-0.002909,	6.392141,	-5.091975,	2.320176,	-4.100848,	
2.151772,	-0.003829,	1.876746,	-5.502302,	-0.684691,	-5.880277,	
3.045770,	-0.001739,	-0.400923,	-2.498348,	-2.862954,	-5.348640,	
0.522793,	-0.001306,	-3.803107,	-8.722793,	2.998058,	-11.318437,	
-0.377439,	-0.001763,	-9.333288,	-9.583244,	-0.368742,	-9.240218,	
-0.601514,	-0.009634,	-1.101569,	-8.111244,	4.293446,	-11.674346,	
-1.233036,	-0.002605,	4.676200,	-6.712309,	3.662571,	-7.934987,	
1.724811,	-0.004448,	-1.954144,	-6.731328,	-1.527189,	-6.972319,	
-0.658095,	-0.005153,	-6.321309,	-9.319295,	0.789582,	-9.946460,	
-2.777026,	-0.002870,	3.069412,	-4.390388,	-0.910436,	-5.240054,	
-0.240392,	-0.001073,	-5.997960,	-9.367868,	2.937850,	-12.221988,	
-0.897661,	-0.005959,	-8.907534,	-8.850480,	-2.085730,	-7.540457,	
-3.014115,	-0.004441,	0.304923,	-3.495458,	-3.106419,	-6.574887,	
0.296093,	-0.009106,	-6.478720,	-9.590614,	2.447685,	-11.925184,	
-0.143938,	-0.006739,	-7.487795,	-9.812620,	2.191620,	-11.983645,	
-0.378065,	-0.011985,	-4.961112,	-9.380563,	3.366508,	-12.523998,	
-3.002286,	-0.003678,	2.190511,	-4.541500,	-2.258777,	-6.777227,	
-0.892492,	-0.001677,	-8.841004,	-9.200762,	-1.904331,	-8.003360,	
2.881637,	-0.005097,	-3.360384,	-1.824248,	-4.819392,	-6.487968,	
0.004669,	-0.003875,	13.719802,	4.513951,	9.205343,	-4.691056,	
-2.918861,	-0.004267,	4.144202,	-5.176273,	-0.855929,	-6.010245,	
-1.847086,	-0.002325,	-0.247165,	-7.304554,	-1.153941,	-7.616754,	
1.327544,	-0.003761,	5.170238,	-7.077054,	3.523622,	-7.912888,	
0.955568,	-0.003108,	-1.921194,	-8.999686,	1.946344,	-10.118064,	
0.624965,	-0.009285,	8.464610,	-3.086719,	8.104998,	-9.615428,	
0.170940,	-0.005923,	-4.514300,	-9.235752,	4.439937,	-13.606429,	
2.504333,	-0.002466,	-7.946782,	1.470742,	-5.003135,	-2.557754,	
-1.905786,	-0.000106,	-3.978801,	-5.963479,	-3.138906,	-6.995111,	
1.052426,	-0.004699,	6.261586,	-6.031260,	5.245930,	-8.608996,	
1.418805,	-0.006663,	-5.272065,	-7.932427,	-2.083503,	-7.630699,	
0.364892,	-0.002507,	-3.475336,	-9.020857,	4.378597,	-13.107247,	
0.396132,	-0.010792,	-7.668622,	-10.168421,	1.443373,	-11.493932,	
0.007284,	-0.008494,	-10.114831,	-10.430836,	0.314629,	-10.745426,	
-0.080059,	-0.009490,	-10.760070,	-10.401397,	-0.382659,	-10.019691,	
-1.215643,	-0.004432,	-4.367934,	-9.016973,	-0.636926,	-8.792847,	
-1.763591,	-0.002960,	5.468137,	-7.237792,	2.088378,	-6.843725,	
1.962807,	-0.005078,	-6.595362,	-4.103343,	-4.421807,	-5.813412,	
-2.080517,	-0.002581,	-7.743115,	-2.218949,	-5.000131,	-4.647407,	
-1.686237,	-0.003346,	10.190999,	-4.185146,	4.892030,	-3.637924,	
2.963063,	-0.000099,	7.114645,	-5.140747,	1.992742,	-3.179643,	
1.242267,	-0.001100,	11.622677,	-1.641152,	6.406569,	-3.701568,	
1.151311,	-0.000941,	9.240970,	-4.157305,	5.957352,	-6.578559,	
1.374811,	-0.004128,	9.369078,	-4.531612,	5.211329,	-5.525321,	
-1.283242,	-0.000902,	-6.709381,	-8.167068,	-2.285513,	-7.516902,	
-1.864286,	-0.005188,	5.722665,	-6.855949,	1.966147,	-6.296925,	
-2.627157,	-0.002047,	-2.226296,	-3.196596,	-4.024509,	-6.696155,	
-0.285308,	-0.005894,	10.419992,	-0.103523,	9.775930,	-9.500317,	
-0.944347,	-0.002485,	9.422914,	-3.235958,	6.848308,	-7.264702,	
2.210261,	-0.006081,	-2.380505,	-4.859317,	-3.238046,	-6.807437,	
-0.304699,	-0.011354,	-7.832402,	-9.951977,	1.563704,	-11.448883,	
-0.920656,	-0.001056,	12.901018,	1.715491,	7.265233,	-2.688245,	
0.434157,	-0.004598,	12.643785,	2.315920,	8.934799,	-5.772586,	
-1.966096,	-0.000769,	1.609263,	-7.014630,	-0.586843,	-7.240197,	
2.006986,	-0.006737,	0.078902,	-6.600494,	-1.514043,	-7.249391,	
-0.667656,	-0.004107,	-2.892611,	-9.127015,	3.115773,	-11.581656,	
-2.569467,	-0.005792,	0.988001,	-4.976204,	-2.449187,	-7.027649,	
1.049175,	-0.004189,	11.471881,	-1.231687,	6.882576,	-4.636151,	
1.620511,	-0.001868,	7.971469,	-5.711611,	3.843600,	-5.513439,	
-0.419136,	-0.004749,	-13.188744,	-8.813260,	-4.406992,	-4.779261,	
-0.261661,	-0.002325,	7.447922,	-2.707967,	9.444269,	-11.836422,	
0.204356,	-0.000781,	-4.713534,	-9.186795,	4.110096,	-13.210715,	
-1.054204,	-0.009711,	-0.162661,	-8.606186,	2.380664,	-9.802090,	
-0.303426,	-0.008288,	3.562158,	-5.469807,	8.109358,	-13.228533,	
1.269075,	-0.003497,	0.389852,	-8.298343,	1.477843,	-8.732568,	
2.601502,	-0.003745,	1.532747,	-4.988102,	-2.184516,	-6.865872,	
1.016922,	-0.007237,	-5.288922,	-9.228226,	-0.284385,	-9.080397,	
0.443466,	-0.006614,	7.848967,	-2.809265,	8.726840,	-10.667019,	
0.598434,	-0.008933,	-8.931691,	-9.768658,	-0.686516,	-9.204923,	
-1.327134,	-0.001417,	-4.164718,	-8.404050,	-1.095042,	-8.138357,	
-1.080257,	-0.001911,	5.973328,	-6.152762,	4.999946,	-8.516669,	
1.820917,	-0.003415,	-4.579613,	-5.810432,	-3.116556,	-6.592153,	
-2.246638,	-0.001014,	-8.076257,	0.402127,	-4.861257,	-2.635009,	
0.240856,	-0.004703,	-2.936810,	-8.565687,	5.072168,	-13.485697,	
0.111971,	-0.001360,	8.300430,	-1.770180,	9.932231,	-11.638695,	
0.091438,	-0.007780,	-11.635013,	-10.036591,	-1.631773,	-8.412843,	
-0.355427,	-0.000906,	12.031716,	1.555052,	9.436238,	-7.294376,	
2.850724,	-0.003118,	6.432254,	-5.069113,	1.454420,	-3.674492,	
2.739420,	-0.006815,	0.224532,	-4.295221,	-3.256336,	-7.300360,	
0.956137,	-0.007162,	-4.819900,	-9.442297,	0.340409,	-9.636607,	
-2.671994,	-0.001410,	-4.446392,	-1.686810,	-4.933595,	-6.083191,	
0.673413,	-0.002758,	-6.710280,	-9.865749,	0.707623,	-10.417677,	
2.232093,	-0.002881,	1.451204,	-6.275667,	-1.492060,	-7.195390,	
-1.305725,	-0.001294,	2.625066,	-8.169179,	2.473395,	-8.820243,	
1.009033,	-0.003304,	3.797731,	-7.238953,	4.440083,	-9.591665,	
0.277380,	-0.011637,	-0.316051,	-7.617881,	6.461037,	-13.810942,	
-2.294031,	-0.001549,	1.681757,	-6.092092,	-1.498518,	-7.082090,	
0.037049,	-0.005079,	-12.676694,	-10.111697,	-2.569411,	-7.544566,	
1.631378,	-0.001038,	7.003050,	-6.681171,	3.302070,	-6.477827,	
1.332058,	-0.004104,	-10.249308,	-6.224265,	-4.523365,	-5.172636,	
-1.311102,	-0.000057,	-11.924932,	-4.467940,	-5.572493,	-3.036701,	
-0.822667,	-0.002821,	7.421259,	-4.784175,	6.963972,	-9.535927,	
-1.200693,	-0.004559,	-8.993143,	-7.985142,	-3.253307,	-6.794567,	
-2.564529,	-0.000091,	2.617573,	-5.727333,	-1.681433,	-7.136405,	
2.541401,	-0.002352,	2.598672,	-5.684961,	-1.594956,	-7.003278,	
1.189600,	-0.004866,	-8.152556,	-8.313399,	-2.733226,	-7.308909,	
-1.213434,	-0.002146,	12.057759,	-1.112209,	6.635152,	-3.446550,	
1.432706,	-0.000483,	12.128067,	0.246716,	6.104546,	-0.590669,	
-1.093746,	-0.000017,	13.167418,	2.219430,	6.789961,	-0.898357,	
-0.120803,	-0.003524,	12.760965,	2.671755,	9.971044,	-7.230795,	
0.238807,	-0.002829,	13.442660,	3.654153,	9.358782,	-5.432736,	
-0.401362,	-0.003073,	13.634022,	3.827559,	8.784663,	-4.269494,	
-1.523445,	-0.006955,	0.781349,	-8.265620,	0.615909,	-8.299051,	
0.730015,	-0.002621,	4.445242,	-6.146016,	6.228188,	-10.776139,	
1.032662,	-0.002994,	-1.009788,	-8.803198,	1.999784,	-9.823011,	
0.042745,	-0.003974,	-6.658563,	-9.814738,	3.138620,	-12.949933,	
0.278923,	-0.003080,	-11.650526,	-10.120966,	-1.790670,	-8.401028,	
2.264543,	-0.006723,	0.369962,	-6.012454,	-2.212358,	-7.438489,	
1.451811,	-0.000878,	10.240017,	-4.041064,	5.395552,	-4.676840,	
-0.515021,	-0.000080,	9.513828,	-1.949459,	9.022229,	-9.801700,	
-1.102892,	-0.002436,	11.618566,	-1.588967,	6.875369,	-4.704813,	
2.228430,	-0.006598,	2.768572,	-6.607798,	-0.805461,	-7.104328,	
0.667739,	-0.007029,	-2.337732,	-9.106169,	3.433028,	-11.786855,	
-0.582200,	-0.007515,	-2.824022,	-9.241065,	3.807575,	-12.437006,	
-2.802632,	-0.006874,	-1.151866,	-3.769517,	-4.213978,	-7.733997,	
-1.006557,	-0.002728,	-0.579766,	-9.098794,	2.516427,	-10.450309,	
-0.751657,	-0.005182,	4.386165,	-6.561364,	6.298460,	-11.184983,	
1.448186,	-0.004177,	1.518668,	-8.412369,	1.265155,	-8.561856,	
1.694701,	-0.003305,	9.488357,	-5.130609,	4.454576,	-4.565473,	
-1.482084,	-0.002023,	1.005240,	-8.558698,	0.894047,	-8.639708,	
0.587048,	-0.004828,	4.313089,	-5.975805,	7.071279,	-11.844227,	
1.134337,	-0.001360,	-0.832477,	-8.942518,	1.611555,	-9.621789,	
0.706966,	-0.000861,	13.908185,	3.572354,	7.867914,	-2.405501,	
-2.846027,	-0.005999,	-3.309613,	-2.281253,	-5.043032,	-7.096707,	
0.822341,	-0.001582,	-11.064806,	-9.048448,	-3.196494,	-6.876918,	
-1.300579,	-0.000042,	8.352311,	-5.693464,	5.118601,	-7.060030,	
-2.362691,	-0.003782,	-1.702093,	-4.990548,	-3.500008,	-7.472137,	
-1.696940,	-0.005127,	0.149565,	-8.191903,	-0.422765,	-8.242940,	
0.722834,	-0.004187,	5.115661,	-5.970055,	6.642067,	-10.932727,	
1.331557,	-0.005260,	-2.132311,	-8.882642,	-0.037439,	-8.873962,	
-0.679405,	-0.008820,	-4.648479,	-9.756462,	2.160817,	-11.449373,	
-1.562988,	-0.005855,	-4.810580,	-7.731105,	-2.352694,	-7.698960,	
-0.722961,	-0.003282,	6.035086,	-5.407198,	7.041904,	-10.702835,	
1.858324,	-0.004188,	-3.385585,	-6.569275,	-2.751219,	-7.360514,	
-2.707233,	-0.001482,	-7.969399,	2.567662,	-4.788346,	-1.773046,	
-2.755365,	-0.004266,	-5.156421,	-0.876065,	-5.211448,	-5.695203,	
0.940908,	-0.006433,	-8.086181,	-9.358170,	-1.580633,	-8.435327,	
0.261693,	-0.000795,	9.115962,	-1.496654,	9.895098,	-11.052820,	
3.129359,	-0.005265,	3.847350,	-5.337449,	-1.489897,	-6.827310,	
2.239842,	-0.002349,	4.041837,	-6.800970,	-0.117111,	-6.873823,	
1.242173,	-0.004002,	-6.241955,	-8.798152,	-1.809954,	-8.220867,	
0.719624,	-0.003968,	-6.122753,	-10.027505,	0.967904,	-10.752884,	
0.178384,	-0.006350,	-11.884343,	-10.420620,	-1.587467,	-8.860164,	
-0.002737,	-0.001933,	14.910320,	6.389125,	8.521191,	-2.132063,	
-1.088763,	-0.000126,	13.280152,	0.919641,	7.201009,	-2.419414,	
1.225067,	-0.003061,	11.932811,	-1.818361,	6.647111,	-4.051799,	
0.908906,	-0.005083,	9.794080,	-3.249684,	7.238488,	-7.669442,	
-2.756685,	-0.007630,	-2.416821,	-3.308456,	-4.774917,	-7.720200,	
2.510650,	-0.005949,	1.486666,	-5.878171,	-2.443756,	-7.859976,	
0.974605,	-0.000702,	-3.881112,	-9.733286,	0.936540,	-10.258604,	
-1.907542,	-0.004823,	-2.217129,	-7.158610,	-2.402476,	-7.941484,	
0.624088,	-0.001674,	5.975125,	-5.214076,	7.595494,	-11.370353,	
1.621557,	-0.002987,	-4.799312,	-7.571504,	-2.606796,	-7.711547,	
0.787506,	-0.004220,	-5.144680,	-9.961367,	1.231044,	-10.826321,	
-2.682860,	-0.005158,	-4.821403,	-1.908151,	-5.439034,	-6.772380,	
0.770690,	-0.005486,	-11.876772,	-9.159688,	-3.582317,	-6.603355,	
-2.261556,	-0.006253,	6.209956,	-7.003296,	1.113502,	-6.299239,	
2.252301,	-0.004873,	6.487062,	-6.959971,	1.298979,	-6.136757,	
-0.606570,	-0.006933,	-12.111408,	-9.804392,	-3.047050,	-7.288927,	
-2.824364,	-0.005623,	4.117472,	-6.066374,	-1.485907,	-7.475511,	
2.033665,	-0.002155,	9.844761,	-4.706685,	4.299341,	-2.778669,	
-0.836370,	-0.004424,	12.882944,	0.682296,	8.033376,	-4.727690,	
0.752735,	-0.001040,	12.865367,	1.088592,	8.220979,	-4.905413,	
1.174404,	-0.004334,	8.604740,	-5.066507,	5.685315,	-7.238817,	
-0.311747,	-0.000604,	-12.548399,	-9.976808,	-2.789214,	-7.321521,	
0.665084,	-0.004731,	8.330891,	-3.453323,	7.967178,	-9.699083,	
0.473302,	-0.005215,	-12.980645,	-9.271934,	-3.919177,	-5.792964,	
