0.133783,	0.289994,	0.000012,	-0.000000,	
0.134516,	0.289994,	0.000012,	-0.000000,	
0.135249,	0.289994,	0.000012,	-0.000000,	
0.135980,	0.289994,	0.000012,	-0.000000,	
0.136709,	0.289994,	0.000012,	-0.000000,	
0.137437,	0.289994,	0.000012,	-0.000000,	
0.138164,	0.289994,	0.000012,	-0.000000,	
0.138890,	0.289994,	0.000012,	-0.000000,	
0.139614,	0.289994,	0.000012,	-0.000000,	
0.140337,	0.289994,	0.000012,	-0.000000,	
0.141058,	0.289994,	0.000012,	-0.000000,	
0.141779,	0.289994,	0.000012,	-0.000000,	
0.142498,	0.289994,	0.000012,	-0.000000,	
0.143215,	0.289994,	0.000012,	-0.000000,	
0.143932,	0.289993,	0.000012,	-0.000000,	
0.144647,	0.289993,	0.000012,	-0.000000,	
0.145361,	0.289993,	0.000012,	-0.000000,	
0.146074,	0.289993,	0.000012,	-0.000000,	
0.146786,	0.289993,	0.000012,	-0.000000,	
0.147496,	0.289993,	0.000012,	-0.000000,	
0.148205,	0.289993,	0.000012,	-0.000000,	
0.148914,	0.289993,	0.000012,	-0.000000,	
0.149621,	0.289993,	0.000012,	-0.000000,	
0.150326,	0.289993,	0.000012,	-0.000000,	
0.151031,	0.289993,	0.000012,	-0.000000,	
0.151735,	0.289993,	0.000012,	-0.000000,	
0.152437,	0.289993,	0.000012,	-0.000000,	
0.153139,	0.289993,	0.000012,	-0.000000,	
0.153839,	0.289992,	0.000012,	-0.000000,	
0.154538,	0.289992,	0.000012,	-0.000000,	
0.155236,	0.289992,	0.000012,	-0.000000,	
0.155933,	0.289992,	0.000012,	-0.000000,	
0.156629,	0.289992,	0.000012,	-0.000000,	
0.157325,	0.289992,	0.000012,	-0.000000,	
0.158019,	0.289992,	0.000012,	-0.000000,	
0.158712,	0.289992,	0.000012,	-0.000000,	
0.159403,	0.289992,	0.000012,	-0.000000,	
0.160094,	0.289992,	0.000011,	-0.000000,	
0.160784,	0.289992,	0.000011,	-0.000000,	
0.161473,	0.289992,	0.000011,	-0.000000,	
0.162161,	0.289992,	0.000011,	-0.000000,	
0.162848,	0.289992,	0.000011,	-0.000000,	
0.163535,	0.289991,	0.000011,	-0.000000,	
0.164220,	0.289991,	0.000011,	-0.000000,	
0.164904,	0.289991,	0.000011,	-0.000000,	
0.165587,	0.289991,	0.000011,	-0.000000,	
0.166269,	0.289991,	0.000011,	-0.000000,	
0.166951,	0.289991,	0.000011,	-0.000000,	
0.167631,	0.289991,	0.000011,	-0.000000,	
0.168311,	0.289991,	0.000011,	-0.000000,	
0.168990,	0.289991,	0.000011,	-0.000000,	
0.169667,	0.289991,	0.000011,	-0.000000,	
0.170344,	0.289991,	0.000011,	-0.000000,	
0.171020,	0.289991,	0.000011,	-0.000000,	
0.171696,	0.289991,	0.000011,	-0.000000,	
0.172370,	0.289991,	0.000011,	-0.000000,	
0.173043,	0.289990,	0.000011,	-0.000000,	
0.173716,	0.289990,	0.000011,	-0.000000,	
0.174388,	0.289990,	0.000011,	-0.000000,	
0.175059,	0.289990,	0.000011,	-0.000000,	
0.175729,	0.289990,	0.000011,	-0.000000,	
0.176398,	0.289990,	0.000011,	-0.000000,	
0.177066,	0.289990,	0.000011,	-0.000000,	
0.177734,	0.289990,	0.000011,	-0.000000,	
