0,-0.000000
1,-0.000000
2,-0.000000
3,-0.000000
4,0.000000
5,0.000000
6,0.000000
7,-0.000000
8,-0.000000
9,-0.000000
10,-0.000000

0, -0.225211
1, -0.083469
2, 0.211148
3, 0.062606
4, -0.026301
5, -0.098562
6, -0.126303
7, -0.238954
8, 0.117412
9, 0.277428
10, -0.116937

0, -0.330490
1, -0.045818
2, 0.278638
3, 0.175968
4, -0.090477
5, -0.197749
6, -0.080477
7, -0.311495
8, 0.144064
9, 0.374087
10, -0.204689

0, -0.348254
1, -0.112979
2, 0.284314
3, 0.200520
4, -0.125253
5, -0.213884
6, -0.075252
7, -0.295817
8, 0.119512
9, 0.419542
10, -0.277813

0, -0.357186
1, -0.130940
2, 0.260284
3, 0.244874
4, -0.179929
5, -0.220513
6, 0.000075
7, -0.239829
8, 0.045155
9, 0.475198
10, -0.350034

0, -0.335307
1, -0.119567
2, 0.169813
3, 0.325183
4, -0.280082
5, -0.249781
6, 0.069927
7, -0.220275
8, -0.015152
9, 0.514901
10, -0.331346

0, -0.292252
1, -0.136176
2, 0.135330
3, 0.339834
4, -0.304908
5, -0.275672
6, 0.085102
7, -0.164737
8, -0.049805
9, 0.570257
10, -0.294697

0, -0.278703
1, -0.152333
2, 0.110700
3, 0.364586
4, -0.319783
5, -0.291307
6, 0.100228
7, -0.129354
8, -0.064556
9, 0.565507
10, -0.298580

0, -0.232637
1, -0.146647
2, 0.105474
3, 0.389739
4, -0.344859
5, -0.305941
6, 0.125153
7, -0.104574
8, -0.029703
9, 0.560356
10, -0.294246

0, -0.207246
1, -0.161452
2, 0.090395
3, 0.424792
4, -0.329883
5, -0.340838
6, 0.150129
7, -0.089645
8, -0.054755
9, 0.535304
10, -0.289461

0, -0.191289
1, -0.175806
2, 0.055162
3, 0.439944
4, -0.374959
5, -0.365478
6, 0.145054
7, -0.054862
8, -0.069907
9, 0.500150
10, -0.275107

0, -0.185367
1, -0.170119
2, 0.029932
3, 0.435094
4, -0.400035
5, -0.370106
6, 0.159979
7, -0.040084
8, -0.045055
9, 0.484998
10, -0.290814

0, -0.191289
1, -0.175806
2, 0.035158
3, 0.419942
4, -0.424961
5, -0.375485
6, 0.165054
7, -0.014853
8, -0.019902
9, 0.460146
10, -0.305168

